date,wm_yr_wk,weekday,wday,month,year,d,item_id,dept_id,cat_id,store_id,state_id,ventas,sell_price,event_name_1,event_type_1,event_name_2,event_type_2
2013-01-01,11249,Tuesday,4,1,2013,d_704,FOODS_3_090,FOODS_3,FOODS,CA_3,CA,0,1.25,NewYear,National,,
2013-01-01,11249,Tuesday,4,1,2013,d_704,FOODS_3_120,FOODS_3,FOODS,CA_3,CA,0,4.98,NewYear,National,,
2013-01-01,11249,Tuesday,4,1,2013,d_704,FOODS_3_202,FOODS_3,FOODS,CA_3,CA,20,4.28,NewYear,National,,
2013-01-01,11249,Tuesday,4,1,2013,d_704,FOODS_3_252,FOODS_3,FOODS,CA_3,CA,34,1.48,NewYear,National,,
2013-01-01,11249,Tuesday,4,1,2013,d_704,FOODS_3_288,FOODS_3,FOODS,CA_3,CA,0,,NewYear,National,,
2013-01-01,11249,Tuesday,4,1,2013,d_704,FOODS_3_329,FOODS_3,FOODS,CA_3,CA,39,2.98,NewYear,National,,
2013-01-01,11249,Tuesday,4,1,2013,d_704,FOODS_3_555,FOODS_3,FOODS,CA_3,CA,9,1.58,NewYear,National,,
2013-01-01,11249,Tuesday,4,1,2013,d_704,FOODS_3_586,FOODS_3,FOODS,CA_3,CA,50,1.58,NewYear,National,,
2013-01-01,11249,Tuesday,4,1,2013,d_704,FOODS_3_587,FOODS_3,FOODS,CA_3,CA,23,2.68,NewYear,National,,
2013-01-01,11249,Tuesday,4,1,2013,d_704,FOODS_3_714,FOODS_3,FOODS,CA_3,CA,17,1.48,NewYear,National,,
2013-01-01,11249,Tuesday,4,1,2013,d_704,FOODS_3_090,FOODS_3,FOODS,CA_4,CA,33,1.25,NewYear,National,,
2013-01-01,11249,Tuesday,4,1,2013,d_704,FOODS_3_120,FOODS_3,FOODS,CA_4,CA,0,4.98,NewYear,National,,
2013-01-01,11249,Tuesday,4,1,2013,d_704,FOODS_3_202,FOODS_3,FOODS,CA_4,CA,5,4.28,NewYear,National,,
2013-01-01,11249,Tuesday,4,1,2013,d_704,FOODS_3_252,FOODS_3,FOODS,CA_4,CA,6,1.48,NewYear,National,,
2013-01-01,11249,Tuesday,4,1,2013,d_704,FOODS_3_288,FOODS_3,FOODS,CA_4,CA,0,,NewYear,National,,
2013-01-01,11249,Tuesday,4,1,2013,d_704,FOODS_3_329,FOODS_3,FOODS,CA_4,CA,0,2.98,NewYear,National,,
2013-01-01,11249,Tuesday,4,1,2013,d_704,FOODS_3_555,FOODS_3,FOODS,CA_4,CA,7,1.58,NewYear,National,,
2013-01-01,11249,Tuesday,4,1,2013,d_704,FOODS_3_586,FOODS_3,FOODS,CA_4,CA,9,1.58,NewYear,National,,
2013-01-01,11249,Tuesday,4,1,2013,d_704,FOODS_3_587,FOODS_3,FOODS,CA_4,CA,12,2.68,NewYear,National,,
